gene_ID	transcript_ID	annot_gene_id	annot_transcript_id	annot_gene_name	annot_transcript_name	n_exons	length	gene_novelty	transcript_novelty	ISM_subtype	Plasmomerged1
16	16	PF3D7_0102200	PF3D7_0102200.1	TALONG000000016	TALONT000000016	2	5820	Known	Known	None	1
17	17	PF3D7_0102300	PF3D7_0102300.1	TALONG000000017	TALONT000000017	2	1583	Known	Known	None	19
21	21	PF3D7_0102800	PF3D7_0102800.1	TALONG000000021	TALONT000000021	1	2539	Known	Known	None	5
22	22	PF3D7_0102900	PF3D7_0102900.1	TALONG000000022	TALONT000000022	1	2986	Known	Known	None	12
24	24	PF3D7_0103100	PF3D7_0103100.1	TALONG000000024	TALONT000000024	1	6217	Known	Known	None	1
26	26	PF3D7_0103300	PF3D7_0103300.1	TALONG000000026	TALONT000000026	1	3571	Known	Known	None	2
27	27	PF3D7_0103400	PF3D7_0103400.1	TALONG000000027	TALONT000000027	1	5765	Known	Known	None	1
32	32	PF3D7_0103900	PF3D7_0103900.1	TALONG000000032	TALONT000000032	1	2586	Known	Known	None	3
34	34	PF3D7_0104100	PF3D7_0104100.1	TALONG000000034	TALONT000000034	2	4311	Known	Known	None	4
38	38	PF3D7_0104500	PF3D7_0104500.1	TALONG000000038	TALONT000000038	1	1245	Known	Known	None	1
42	42	PF3D7_0105100	PF3D7_0105100.1	TALONG000000042	TALONT000000042	1	1202	Known	Known	None	2
44	44	PF3D7_0105300	PF3D7_0105300.1	TALONG000000044	TALONT000000044	2	1199	Known	Known	None	14
45	46	PF3D7_0105400	PF3D7_0105400.1	TALONG000000045	TALONT000000046	2	1202	Known	Known	None	3
49	50	PF3D7_0105800	PF3D7_0105800.1	TALONG000000049	TALONT000000050	2	4343	Known	Known	None	8
50	51	PF3D7_0105900	PF3D7_0105900.1	TALONG000000050	TALONT000000051	1	2683	Known	Known	None	2
51	52	PF3D7_0106000	PF3D7_0106000.1	TALONG000000051	TALONT000000052	1	3512	Known	Known	None	4
52	53	PF3D7_0106100	PF3D7_0106100.1	TALONG000000052	TALONT000000053	1	1904	Known	Known	None	2
54	55	PF3D7_0106300	PF3D7_0106300.1	TALONG000000054	TALONT000000055	3	5469	Known	Known	None	14
55	56	PF3D7_0106400	PF3D7_0106400.1	TALONG000000055	TALONT000000056	4	926	Known	Known	None	4
56	57	PF3D7_0106500	PF3D7_0106500.1	TALONG000000056	TALONT000000057	1	4654	Known	Known	None	1
58	59	PF3D7_0106700	PF3D7_0106700.1	TALONG000000058	TALONT000000059	1	5281	Known	Known	None	5
59	60	PF3D7_0106800	PF3D7_0106800.1	TALONG000000059	TALONT000000060	9	1104	Known	Known	None	1
60	61	PF3D7_0106900	PF3D7_0106900.1	TALONG000000060	TALONT000000061	1	2954	Known	Known	None	3
61	62	PF3D7_0107000	PF3D7_0107000.1	TALONG000000061	TALONT000000062	6	1058	Known	Known	None	11
62	63	PF3D7_0107100	PF3D7_0107100.1	TALONG000000062	TALONT000000063	1	1783	Known	Known	None	1
63	64	PF3D7_0107200	PF3D7_0107200.1	TALONG000000063	TALONT000000064	10	1303	Known	Known	None	3
66	67	PF3D7_0107500	PF3D7_0107500.1	TALONG000000066	TALONT000000067	4	8009	Known	Known	None	1
68	69	PF3D7_0107700	PF3D7_0107700.1	TALONG000000068	TALONT000000069	1	1341	Known	Known	None	1
69	70	PF3D7_0107800	PF3D7_0107800.1	TALONG000000069	TALONT000000070	1	4424	Known	Known	None	3
71	72	PF3D7_0108000	PF3D7_0108000.1	TALONG000000071	TALONT000000072	4	1354	Known	Known	None	17
73	74	PF3D7_0108300	PF3D7_0108300.1	TALONG000000073	TALONT000000074	1	9996	Known	Known	None	15
75	77	PF3D7_0108500	PF3D7_0108500.1	TALONG000000075	TALONT000000077	1	3323	Known	Known	None	8
76	78	PF3D7_0108600	PF3D7_0108600.1	TALONG000000076	TALONT000000078	6	2145	Known	Known	None	1
78	80	PF3D7_0108800	PF3D7_0108800.1	TALONG000000078	TALONT000000080	11	2103	Known	Known	None	2
81	83	PF3D7_0109200	PF3D7_0109200.1	TALONG000000081	TALONT000000083	1	1657	Known	Known	None	1
85	87	PF3D7_0109600	PF3D7_0109600.1	TALONG000000085	TALONT000000087	3	532	Known	Known	None	1
86	88	PF3D7_0109700	PF3D7_0109700.1	TALONG000000086	TALONT000000088	2	1328	Known	Known	None	1
90	92	PF3D7_0110000	PF3D7_0110000.1	TALONG000000090	TALONT000000092	1	1368	Known	Known	None	4
91	93	PF3D7_0110100	PF3D7_0110100.1	TALONG000000091	TALONT000000093	1	3299	Known	Known	None	4
92	94	PF3D7_0110200	PF3D7_0110200.1	TALONG000000092	TALONT000000094	1	1298	Known	Known	None	2
96	98	PF3D7_0110700	PF3D7_0110700.1	TALONG000000096	TALONT000000098	1	3926	Known	Known	None	6
97	99	PF3D7_0110800	PF3D7_0110800.1	TALONG000000097	TALONT000000099	3	2382	Known	Known	None	2
98	100	PF3D7_0110900	PF3D7_0110900.1	TALONG000000098	TALONT000000100	1	1216	Known	Known	None	3
101	103	PF3D7_0111300	PF3D7_0111300.1	TALONG000000101	TALONT000000103	1	5291	Known	Known	None	9
102	104	PF3D7_0111400	PF3D7_0111400.1	TALONG000000102	TALONT000000104	1	3190	Known	Known	None	5
103	105	PF3D7_0111500	PF3D7_0111500.1	TALONG000000103	TALONT000000105	5	2150	Known	Known	None	1
106	108	PF3D7_0111800	PF3D7_0111800.1	TALONG000000106	TALONT000000108	8	4284	Known	Known	None	4
109	111	PF3D7_0112100	PF3D7_0112100.1	TALONG000000109	TALONT000000111	1	492	Known	Known	None	1
110	112	PF3D7_0112200	PF3D7_0112200.1	TALONG000000110	TALONT000000112	1	8128	Known	Known	None	20
112	114	PF3D7_0112900	PF3D7_0112900.1	TALONG000000112	TALONT000000114	2	4119	Known	Known	None	1
